Timestamp,RunIndex,ScenarioID,TotalAgents,VisibleSignCount,SignHeight,SignPositionX,SignPositionZ,VcaAngle,VcaDistance,SignComprehensionTime,GlobalFPS,LCP_ms,UIC_Alpha,AgentID,AgentType,StartNode,GoalNode,Height,EyeHeight,TimeInVCA,TimesInVCA,SawSign,TotalNodesNavigated,NodesWithDetection,RDEffective
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,835,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,836,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,837,WheelchairAgent(Clone),11,9,1.3,1.17,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,838,AdultFemaleAgent(Clone),10,8,1.58,1.450001,7.613281,2,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,839,WheelchairAgent(Clone),8,10,1.3,1.17,8.946609,1,False,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,840,AdultMaleAgent(Clone),9,11,1.71,1.58,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,841,AdultFemaleAgent(Clone),9,11,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,842,AdultMaleAgent(Clone),8,10,1.71,1.58,9.613281,1,True,2,1,0.5
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,843,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
2026-03-02_21.23.17,1,Random_sign_placement_scenario,1030,269,0.5,-10.69,8.67,90,15,1,4.974157,1.17029,1,844,AdultFemaleAgent(Clone),11,9,1.58,1.450001,0,0,False,2,0,0
